ENSMUSG00000038331: (2, 3)                                                                                                                                                                                  
ENSMUSG00000026683: (1, 1)                                                                                                                                                                                  
ENSMUSG00000038235: (1, 1)                                                                                                                                                                                  
ENSMUSG00000020415: (2, 4)                                                                                                                                      
ENSMUSG00000033196: (1, 1)                                                                                                                                                                                  
ENSMUSG00000020897: (1, 1)                                                                                                                                         
ENSMUSG00000035198: (1, 1)                                                                                                                                                                                  
ENSMUSG00000020782: (2, 7)                                                                                                                                      
ENSMUSG00000020990: (1, 1)                                                                                                                                                                                  
ENSMUSG00000041415: (1, 1)                                                                                                                                         
ENSMUSG00000048251: (1, 1)                                                                                                                                                                                  
ENSMUSG00000041431: (1, 1)                                                                                                                                      
ENSMUSG00000041408: (3, 3)                                                                                                                                                                                  
ENSMUSG00000022191: (2, 2)                                                                                                                                         
ENSMUSG00000036698: (1, 1)                                                                                                                                                                                  
ENSMUSG00000072235: (1, 1)                                                                                                                                      
ENSMUSG00000058290: (1, 1)                                                                                                                                                                                  
ENSMUSG00000023051: (3, 6)                                                                                                                                         
ENSMUSG00000022718: (1, 1)                                                                                                                                                                                  
ENSMUSG00000050996: (1, 1)                                                                                                                                      
ENSMUSG00000035033: (2, 1)                                                                                                                                                                                  
ENSMUSG00000027168: (7, 10)                                                                                                                                        
ENSMUSG00000040084: (1, 1)                                                                                                                                                                                  
ENSMUSG00000039086: (1, 1)                                                                                                                                      
ENSMUSG00000027699: (3, 7)                                                                                                                                                                                  
ENSMUSG00000074637: (1, 1)                                                                                                                                         
ENSMUSG00000025758: (3, 4)                                                                                                                                                                                  
ENSMUSG00000027959: (1, 1)                                                                                                                                      
ENSMUSG00000045328: (1, 1)                                                                                                                                                                                  
ENSMUSG00000006398: (2, 2)                                                                                                                                         
ENSMUSG00000028842: (3, 3)                                                                                                                                                                                  
ENSMUSG00000006699: (1, 2)                                                                                                                                       
ENSMUSG00000029003: (1, 4)                                                                                                                                                                                  
ENSMUSG00000029086: (1, 2)                                                                                                                                          
ENSMUSG00000029554: (1, 2)                                                                                                                                                                                  
ENSMUSG00000029910: (1, 1)                                                                                                                 
ENSMUSG00000038943: (6, 6)                                                                                                                                                                                  
ENSMUSG00000052707: (1, 1)                                                                                       
ENSMUSG00000037725: (1, 1)                                                                                                                                                                                  
ENSMUSG00000031972: (1, 1)                                                                                       
ENSMUSG00000032113: (2, 3)                                                                                                                                                                                  
ENSMUSG00000049932: (1, 1)                                                                                                                                                                    
ENSMUSG00000032218: (1, 1)                                                                                                                                                                       
ENSMUSG00000038379: (1, 1)                                                                                                                                                                                  
ENSMUSG00000032584: (1, 1)                                                                                                         
ENSMUSG00000007815: (1, 1)                                                                               
ENSMUSG00000032446: (2, 2)                                                                                          
ENSMUSG00000051220: (1, 1) 
